service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Saturday,0,0,0,0,0,1,0,20150201,20160331
Weekday,1,1,1,1,1,0,0,20150201,20160331
Sunday,0,0,0,0,0,0,1,20150201,20160331
school,0,1,1,1,1,0,0,20140903,20150612
Mon,1,0,0,0,0,0,0,20140903,20150612
Weekday_seasonal_CWU_0322,1,1,1,1,1,0,0,20140924,20150322
wkday_0323,1,1,1,1,1,0,0,20150323,20160331
Weekday_seasonal_CWU_032315,1,1,1,1,1,0,0,20150323,20150610
wkday_11_0322,1,1,1,1,1,0,0,20140924,20150322
