shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
15JUNE-100413,70083,47.295594,-122.567735
15JUNE-100413,70084,47.296674,-122.568695
15JUNE-100413,70085,47.297644,-122.569555
15JUNE-100413,70086,47.297954,-122.569825
15JUNE-100413,70087,47.300714,-122.572245
15JUNE-100413,70088,47.301094,-122.572585
15JUNE-100413,70089,47.302074,-122.573455
15JUNE-100413,70090,47.302684,-122.573875
15JUNE-100413,70091,47.303164,-122.574245
15JUNE-100413,70092,47.303494,-122.574485
15JUNE-100413,70093,47.303654,-122.574585
15JUNE-100413,70094,47.303824,-122.574685
15JUNE-100413,70095,47.303984,-122.574745
15JUNE-100413,70096,47.304274,-122.574845
15JUNE-100413,70097,47.304564,-122.574935
15JUNE-100413,70098,47.304704,-122.574985
15JUNE-100413,70099,47.305094,-122.575105
15JUNE-100413,70100,47.305444,-122.575215
15JUNE-100413,70101,47.305654,-122.575315
15JUNE-100413,70102,47.305834,-122.575445
15JUNE-100413,70103,47.305984,-122.575625
15JUNE-100413,70104,47.305384,-122.576365
15JUNE-100413,70105,47.305224,-122.576575
15JUNE-100413,70106,47.304634,-122.577335
15JUNE-100413,70107,47.304444,-122.577595
15JUNE-100413,70108,47.304324,-122.577815
15JUNE-100413,70109,47.304244,-122.578015
15JUNE-100413,70110,47.304174,-122.578235
15JUNE-100413,70111,47.304124,-122.578495
15JUNE-100413,70112,47.304074,-122.578855
15JUNE-100413,70113,47.304054,-122.579145
15JUNE-100413,70114,47.304054,-122.579195
15JUNE-100413,70115,47.303690,-122.579201
15JUNE-100413,80001,47.303690,-122.579201
15JUNE-100413,80002,47.301654,-122.579235
15JUNE-100413,80003,47.300654,-122.579255
15JUNE-100413,80004,47.300654,-122.578385
15JUNE-100413,80005,47.300614,-122.578145
15JUNE-100413,80006,47.300514,-122.577935
15JUNE-100413,80007,47.300404,-122.577765
15JUNE-100413,80008,47.300254,-122.577655
15JUNE-100413,80009,47.300124,-122.577615
15JUNE-100413,80010,47.300034,-122.577615
15JUNE-100413,80011,47.300034,-122.578115
