trip_id,route_id,service_id,block_id,shape_id
975,45,3,2502,39
2709,45,4,2502,47
1003,86,1,201,28
2849,88,4,7801,8
7,61,1,9003,33
1447,45,2,2502,47
1907,18,2,3702,9
1677,18,1,3803,15
988,86,1,201,36
1113,86,2,201,36
1450,45,2,2501,47
3048,18,4,3702,15
1273,57,3,405,0
1761,95,1,3703,10
464,54,1,6501,30
3132,96,4,7101,13
3013,85,4,3452,61
496,39,1,8001,35
857,67,1,6454,75
862,67,1,6456,75
678,39,3,8002,1
2970,81,4,501,12
1004,86,1,201,28
612,46,3,3202,6
601,88,3,7801,8
593,88,3,7801,20
1230,57,2,401,16
239,57,1,401,0
876,54,1,6502,24
771,46,2,3203,5
1785,96,3,7101,13
987,86,1,201,36
209,84,2,701,55
2547,18,4,3702,9
2087,81,1,9001,60
2938,54,4,6501,30
435,49,3,7201,3
2906,54,4,6501,24
2854,88,4,7801,8
2108,81,1,501,57
2994,80,4,3403,70
2722,45,4,2502,27
2437,57,4,401,16
1123,40,1,9202,2
1129,75,2,901,50
1195,57,2,404,0
2435,57,4,402,16
1023,47,1,3901,44
1229,57,2,403,16
85,59,2,3004,19
2469,84,4,702,53
535,88,1,7801,20
1126,75,2,901,50
2171,96,2,7101,17
1668,18,1,3703,15
1152,83,1,4451,52
2703,45,4,2502,47
1696,18,1,3702,9
3076,96,4,7102,17
1405,82,2,302,29
3089,96,4,7101,17
2307,89,1,1901,4
350,49,1,7201,3
2608,40,4,9202,31
1188,57,2,406,0
2658,82,4,302,29
786,46,2,3203,5
602,88,3,7801,8
1997,96,1,7101,17
2182,96,2,7102,17
2331,57,4,401,0
1694,18,1,3702,9
1520,89,2,1901,22
680,39,3,8002,1
2164,80,1,3451,71
1634,54,3,6501,24
3116,96,4,7102,13
1914,18,3,3703,15
1666,18,1,3702,15
530,88,1,7801,20
871,54,1,6501,24
2411,57,4,403,16
2351,57,4,403,0
3070,96,4,7102,17
2774,46,4,3203,6
2848,88,4,7801,8
787,46,2,3201,5
933,67,1,6402,62
1100,86,2,201,28
2902,54,4,6501,24
1041,57,1,407,0
2820,49,4,7201,3
1478,45,1,2502,47
903,54,1,6501,24
2473,84,4,702,53
1057,57,1,407,0
2007,96,1,7103,17
2254,96,2,7103,13
643,39,2,8001,1
3141,96,4,7101,13
1669,18,1,3802,15
213,84,3,701,55
438,49,3,7201,3
2115,81,1,552,57
887,54,1,6501,30
3119,96,4,7102,13
2759,59,4,3002,18
1271,57,3,406,0
3180,67,4,6451,75
2604,40,4,9202,31
2102,81,1,502,12
61,59,2,3004,18
2754,59,4,3003,18
297,46,1,3204,5
2997,80,4,3004,70
2082,81,1,503,60
482,39,1,8003,35
288,46,1,3203,5
2230,96,2,7103,13
165,54,2,6501,30
2414,57,4,406,16
1117,86,2,201,36
1922,18,3,3701,15
2751,59,4,3002,18
1269,57,3,404,0
3071,96,4,7101,17
1530,89,2,1901,22
3020,18,4,3702,15
2218,96,2,7103,13
1923,18,3,3703,15
1827,18,2,3702,15
2868,39,4,8002,1
2737,59,4,3002,19
107,59,3,3001,18
1038,57,1,404,0
590,88,3,7801,20
1087,57,1,401,16
2603,40,4,9201,31
2917,54,4,6501,24
1521,89,2,1901,22
3052,18,4,3701,15
2317,89,1,1901,4
2463,57,4,407,16
2187,96,2,7103,17
1628,54,3,6501,24
515,39,1,8001,1
928,67,1,6401,63
823,59,1,3002,19
1429,82,3,301,21
1297,57,3,406,0
2734,59,4,3001,19
3173,67,4,6401,64
2185,96,2,7102,17
162,54,2,6501,24
1581,40,2,9201,31
3113,96,4,7102,13
1979,96,1,7101,17
656,39,2,8002,1
727,57,1,402,16
2346,57,4,402,0
1295,57,3,403,0
940,67,1,405,64
2552,18,4,3803,9
1798,96,3,7102,17
934,67,1,6401,64
1614,84,1,701,53
459,54,1,6551,24
1586,40,3,9201,31
1780,96,3,7102,13
1750,95,1,3803,10
2489,84,4,701,55
3103,96,4,7102,17
131,40,2,9202,2
2219,96,2,7102,13
634,39,2,8002,35
2640,86,4,201,36
2377,57,4,402,0
2111,81,1,553,48
1093,57,1,402,16
2289,89,1,1901,23
488,39,1,8003,35
1822,96,3,7102,17
469,83,1,4451,65
230,57,1,403,0
1754,95,1,3703,10
1562,40,1,9202,31
2822,49,4,7201,37
838,59,1,3004,19
1482,45,1,2503,47
1686,18,1,3801,15
1082,57,1,451,16
2768,59,4,3001,18
2002,96,1,7102,17
2808,46,4,3203,5
1529,89,2,1901,22
2241,96,2,7101,13
2124,81,1,553,57
506,39,1,8001,1
793,59,1,3001,18
2078,81,1,501,59
15,67,1,6451,67
2718,45,4,2502,27
2535,18,4,3701,9
1361,82,1,301,29
1515,89,2,1901,23
3169,67,4,6453,67
1144,75,2,901,43
229,57,1,405,0
2573,40,4,9202,2
2432,57,4,451,16
3127,96,4,7103,13
2995,80,4,3402,70
277,46,1,3202,6
386,54,1,6501,24
2060,96,1,7102,13
3112,96,4,7103,13
376,49,1,7201,37
633,39,2,8001,35
2040,96,1,7101,13
1507,89,2,1901,23
1103,86,2,201,28
584,88,2,7801,8
2787,46,4,3201,6
1339,57,3,405,16
1300,57,3,403,16
1254,57,3,401,0
2789,46,4,3203,6
1377,82,1,302,21
687,57,1,403,32
512,39,1,8001,1
2297,89,1,1901,23
1383,82,1,302,21
2278,95,1,3801,26
3012,85,4,3451,61
2846,88,4,7801,20
1623,54,3,6501,24
1214,57,2,403,16
2746,59,4,3001,19
2149,85,1,9903,11
2497,84,4,701,55
2319,89,1,1901,4
1762,95,1,3801,10
2176,96,2,7102,17
1921,18,3,3702,15
1622,54,3,6501,24
1655,54,3,6501,30
1327,57,3,405,16
1178,57,2,401,0
292,46,1,3203,5
2569,40,4,9202,2
1475,45,1,2502,27
2584,40,4,9201,2
431,49,2,7201,37
84,59,2,3001,19
2738,59,4,3001,19
1797,96,3,7101,17
2606,40,4,9202,31
1786,96,3,7102,13
125,40,2,9202,2
970,45,3,2501,47
2952,81,4,501,60
1807,96,3,7101,17
2838,88,4,7801,20
2976,81,4,501,12
1171,57,2,403,0
1860,18,2,3702,15
2711,45,4,2502,47
2443,57,4,402,16
774,46,2,3203,5
1809,96,3,7101,17
686,61,1,9001,33
1708,18,1,3703,9
2344,57,4,403,0
1090,57,1,451,16
2913,54,4,6501,24
2363,57,4,401,0
3036,18,4,3804,15
284,46,1,3203,5
