service_id,date,exception_type
21216,20150902,1
21216,20150923,1
21216,20150916,1
21216,20150610,1
21216,20150909,1
21216,20150827,2
21216,20150625,2
21216,20150820,2
21216,20150618,2
21216,20150813,2
21216,20150730,2
21216,20150806,2
21216,20150723,2
21216,20150709,2
21216,20150716,2
21216,20150702,2
21216,20150924,1
21216,20150917,1
21216,20150611,1
21216,20150910,1
21216,20150903,1
21216,20150710,2
21216,20150717,2
21216,20150703,2
21216,20150828,2
21216,20150626,2
21216,20150821,2
21216,20150619,2
21216,20150814,2
21216,20150731,2
21216,20150807,2
21216,20150724,2
21216,20150911,1
21216,20150904,1
21216,20150925,1
21216,20150918,1
21216,20150612,1
20104,20150713,2
20104,20150907,2
20104,20150629,2
20104,20150824,2
20104,20150615,2
20104,20150831,2
20104,20150622,2
20104,20150817,2
20104,20150803,2
20104,20150810,2
20104,20150727,2
20104,20150720,2
20104,20150706,2
20104,20150921,1
20104,20150914,1
20104,20150608,1
20104,20150721,2
20104,20150707,2
20104,20150714,2
20104,20150630,2
20104,20150825,2
20104,20150616,2
20104,20150623,2
20104,20150818,2
20104,20150804,2
20104,20150811,2
20104,20150728,2
20104,20150922,1
20104,20150915,1
20104,20150609,1
20104,20150908,1
20104,20150901,1
20104,20150617,2
20104,20150805,2
20104,20150812,2
20104,20150729,2
20104,20150722,2
20104,20150708,2
20104,20150715,2
20104,20150701,2
20104,20150826,2
20104,20150624,2
20104,20150819,2
20104,20150902,1
20104,20150923,1
20104,20150916,1
20104,20150610,1
20104,20150909,1
20104,20150827,2
20104,20150625,2
20104,20150820,2
20104,20150618,2
20104,20150813,2
20104,20150730,2
20104,20150806,2
20104,20150723,2
20104,20150709,2
20104,20150716,2
20104,20150702,2
20104,20150924,1
20104,20150917,1
20104,20150611,1
20104,20150910,1
20104,20150903,1
20104,20150710,2
20104,20150717,2
20104,20150703,2
20104,20150828,2
20104,20150626,2
20104,20150821,2
20104,20150612,2
20104,20150619,2
20104,20150814,2
20104,20150731,2
20104,20150807,2
20104,20150724,2
20104,20150911,1
20104,20150904,1
20104,20150925,1
20104,20150918,1
19547,20150713,2
19547,20150907,2
19547,20150629,2
19547,20150824,2
19547,20150831,2
19547,20150622,2
19547,20150817,2
19547,20150803,2
19547,20150810,2
19547,20150727,2
19547,20150720,2
19547,20150706,2
19547,20150921,1
19547,20150615,1
19547,20150914,1
19547,20150608,1
19547,20150721,2
19547,20150707,2
19547,20150714,2
19547,20150630,2
19547,20150825,2
19547,20150901,2
19547,20150623,2
19547,20150818,2
19547,20150804,2
19547,20150811,2
19547,20150728,2
19547,20150922,1
19547,20150616,1
19547,20150915,1
19547,20150609,1
19547,20150908,1
19547,20150805,2
19547,20150812,2
19547,20150729,2
19547,20150722,2
19547,20150708,2
19547,20150715,2
19547,20150701,2
19547,20150826,2
19547,20150902,2
19547,20150624,2
19547,20150819,2
19547,20150923,1
19547,20150617,1
19547,20150916,1
19547,20150610,1
19547,20150909,1
19547,20150827,2
19547,20150903,2
19547,20150625,2
19547,20150820,2
19547,20150618,2
19547,20150813,2
19547,20150730,2
19547,20150806,2
19547,20150723,2
19547,20150709,2
19547,20150716,2
19547,20150702,2
19547,20150924,1
19547,20150917,1
19547,20150611,1
19547,20150910,1
19547,20150710,2
19547,20150717,2
19547,20150703,2
19547,20150828,2
19547,20150904,2
19547,20150626,2
19547,20150821,2
19547,20150619,2
19547,20150814,2
19547,20150731,2
19547,20150807,2
19547,20150724,2
19547,20150911,1
19547,20150925,1
19547,20150918,1
19547,20150612,1
18235,20150713,2
18235,20150907,2
18235,20150629,2
18235,20150824,2
18235,20150831,2
18235,20150622,2
18235,20150817,2
18235,20150803,2
18235,20150810,2
18235,20150727,2
18235,20150720,2
18235,20150706,2
18235,20150921,1
18235,20150615,1
18235,20150914,1
18235,20150608,1
18235,20150721,2
18235,20150707,2
18235,20150714,2
18235,20150630,2
18235,20150825,2
18235,20150623,2
18235,20150818,2
18235,20150804,2
18235,20150811,2
18235,20150728,2
18235,20150922,1
18235,20150616,1
18235,20150915,1
18235,20150609,1
18235,20150908,1
18235,20150901,1
18235,20150827,2
18235,20150625,2
18235,20150820,2
18235,20150618,2
18235,20150813,2
18235,20150730,2
18235,20150806,2
18235,20150723,2
18235,20150709,2
18235,20150716,2
18235,20150702,2
18235,20150924,1
18235,20150917,1
18235,20150611,1
18235,20150910,1
18235,20150903,1
18235,20150710,2
18235,20150717,2
18235,20150703,2
18235,20150828,2
18235,20150626,2
18235,20150821,2
18235,20150619,2
18235,20150814,2
18235,20150731,2
18235,20150807,2
18235,20150724,2
18235,20150911,1
18235,20150904,1
18235,20150925,1
18235,20150918,1
18235,20150612,1
17975,20150713,2
17975,20150907,2
17975,20150629,2
17975,20150824,2
17975,20150831,2
17975,20150622,2
17975,20150817,2
17975,20150803,2
17975,20150810,2
17975,20150727,2
17975,20150720,2
17975,20150706,2
17975,20150921,1
17975,20150615,1
17975,20150914,1
17975,20150608,1
17975,20150721,2
17975,20150707,2
17975,20150714,2
17975,20150908,2
17975,20150630,2
17975,20150825,2
17975,20150616,2
17975,20150901,2
17975,20150623,2
17975,20150818,2
17975,20150804,2
17975,20150811,2
17975,20150728,2
17975,20150922,1
17975,20150915,1
17975,20150609,1
17975,20150617,2
17975,20150805,2
17975,20150812,2
17975,20150729,2
17975,20150722,2
17975,20150708,2
17975,20150715,2
17975,20150701,2
17975,20150826,2
17975,20150902,2
17975,20150624,2
17975,20150819,2
17975,20150923,1
17975,20150916,1
17975,20150610,1
17975,20150909,1
17975,20150827,2
17975,20150903,2
17975,20150625,2
17975,20150820,2
17975,20150618,2
17975,20150813,2
17975,20150730,2
17975,20150806,2
17975,20150723,2
17975,20150709,2
17975,20150716,2
17975,20150702,2
17975,20150924,1
17975,20150917,1
17975,20150611,1
17975,20150910,1
17975,20150710,2
17975,20150717,2
17975,20150703,2
17975,20150828,2
17975,20150904,2
17975,20150626,2
17975,20150821,2
17975,20150619,2
17975,20150814,2
17975,20150731,2
17975,20150807,2
17975,20150724,2
17975,20150911,1
17975,20150925,1
17975,20150918,1
17975,20150612,1
17944,20150713,2
17944,20150629,2
17944,20150824,2
17944,20150615,2
17944,20150831,2
17944,20150622,2
17944,20150817,2
17944,20150608,2
17944,20150803,2
17944,20150810,2
17944,20150727,2
17944,20150720,2
17944,20150914,2
17944,20150706,2
17944,20150907,1
17944,20150918,2
17944,20150710,2
17944,20150717,2
17944,20150911,2
17944,20150828,2
17944,20150904,2
17944,20150626,2
17944,20150821,2
17944,20150612,2
17944,20150619,2
17944,20150814,2
17944,20150731,2
17944,20150807,2
17944,20150724,2
17944,20150703,1
16506,20150907,2
16506,20150921,1
16506,20150914,1
15070,20150703,2
15070,20150918,1
15070,20150710,1
15070,20150925,1
15070,20150717,1
15070,20150911,1
15070,20150828,1
15070,20150904,1
15070,20150626,1
15070,20150821,1
15070,20150612,1
15070,20150619,1
15070,20150814,1
15070,20150605,1
15070,20150731,1
15070,20150807,1
15070,20150724,1
14226,20150713,2
14226,20150907,2
14226,20150629,2
14226,20150824,2
14226,20150831,2
14226,20150622,2
14226,20150817,2
14226,20150803,2
14226,20150810,2
14226,20150727,2
14226,20150720,2
14226,20150706,2
14226,20150921,1
14226,20150615,1
14226,20150914,1
14226,20150608,1
14226,20150721,2
14226,20150707,2
14226,20150714,2
14226,20150630,2
14226,20150825,2
14226,20150616,2
14226,20150901,2
14226,20150623,2
14226,20150818,2
14226,20150804,2
14226,20150811,2
14226,20150728,2
14226,20150922,1
14226,20150915,1
14226,20150609,1
14226,20150908,1
14226,20150827,2
14226,20150903,2
14226,20150625,2
14226,20150820,2
14226,20150618,2
14226,20150813,2
14226,20150730,2
14226,20150806,2
14226,20150723,2
14226,20150709,2
14226,20150716,2
14226,20150702,2
14226,20150924,1
14226,20150917,1
14226,20150611,1
14226,20150910,1
14226,20150710,2
14226,20150717,2
14226,20150703,2
14226,20150828,2
14226,20150904,2
14226,20150626,2
14226,20150821,2
14226,20150619,2
14226,20150814,2
14226,20150731,2
14226,20150807,2
14226,20150724,2
14226,20150911,1
14226,20150925,1
14226,20150918,1
14226,20150612,1
5747,20150805,2
5747,20150812,2
5747,20150729,2
5747,20150722,2
5747,20150708,2
5747,20150715,2
5747,20150701,2
5747,20150826,2
5747,20150624,2
5747,20150819,2
5747,20150902,1
5747,20150923,1
5747,20150617,1
5747,20150916,1
5747,20150610,1
5747,20150909,1
5641,20150617,2
5641,20150805,2
5641,20150812,2
5641,20150729,2
5641,20150722,2
5641,20150708,2
5641,20150715,2
5641,20150701,2
5641,20150826,2
5641,20150624,2
5641,20150819,2
5641,20150902,1
5641,20150923,1
5641,20150916,1
5641,20150610,1
5641,20150909,1
3899,20150617,2
3899,20150805,2
3899,20150812,2
3899,20150729,2
3899,20150722,2
3899,20150708,2
3899,20150715,2
3899,20150701,2
3899,20150826,2
3899,20150902,2
3899,20150624,2
3899,20150819,2
3899,20150923,1
3899,20150916,1
3899,20150610,1
3899,20150909,1
