block_seq_num,block_var_num,block_route_num,block_run_num
3900393-1,1,68,32
3900392-1,1,68,30
3900391-1,1,68,31
3900390-1,1,31,30
3900389-1,1,41,13
3900388-1,1,32,10
3900387-1,1,41,18
3900386-1,1,73,7
3900385-1,1,76,4
3900384-1,1,41,22
3900383-1,1,41,31
3900382-1,1,74,7
3900381-1,1,77,9
3900380-1,1,41,19
3900379-1,1,41,30
3900378-1,1,41,26
3900377-1,1,71,8
3900376-1,1,74,5
3900375-1,1,41,25
3900374-1,1,312,21
3900373-1,1,312,17
3900372-1,1,312,9
3900371-1,1,312,5
3900370-1,1,71,7
3900369-1,1,41,21
3900368-1,1,41,17
3900367-1,1,73,4
3900366-1,1,41,11
3900365-1,1,74,4
3900364-1,1,41,9
3900363-1,1,73,9
3900362-1,1,41,12
3900361-1,1,41,5
3900360-1,1,73,1
3900359-1,1,73,6
3900358-1,1,41,4
3900357-1,1,72,3
3900356-1,1,71,2
3900355-1,1,41,10
3900354-1,1,73,3
3900353-1,1,41,29
3900352-1,1,41,15
3900351-1,1,71,4
3900350-1,1,41,2
3900349-1,1,71,5
3900348-1,1,74,3
3900347-1,1,73,8
3900346-1,1,41,33
3900345-1,1,41,24
3900344-1,1,72,5
3900343-1,1,72,6
3900342-1,1,41,28
3900341-1,1,71,6
3900340-1,1,41,20
3900339-1,1,71,3
3900338-1,1,41,8
3900337-1,1,71,1
3900336-1,1,41,27
3900335-1,1,72,4
3900334-1,1,74,6
3900333-1,1,41,1
3900332-1,1,74,1
3900331-1,1,72,1
3900330-1,1,74,2
3900329-1,1,41,14
3900328-1,1,41,3
3900327-1,1,41,23
3900326-1,1,41,16
3900325-1,1,41,32
3900324-1,1,73,2
3900323-1,1,72,2
3900322-1,1,73,10
3900321-1,1,76,3
3900320-1,1,77,12
3900319-1,1,41,7
3900318-1,1,316,3
3900317-1,1,77,3
3900316-1,1,76,5
3900315-1,1,76,6
3900314-1,1,77,2
3900313-1,1,77,1
3900312-1,1,41,6
3900311-1,1,76,2
3900310-1,1,316,9
3900309-1,1,77,7
3900308-1,1,316,2
3900307-1,1,77,4
3900306-1,1,71,9
3900305-1,1,66,14
3900304-1,1,66,12
3900303-1,1,66,13
3900302-1,1,66,11
3900301-1,1,66,9
3900300-1,1,66,8
3900299-1,1,66,7
3900298-1,1,66,5
3900297-1,1,75,2
3900296-1,1,32,6
3900295-1,1,312,15
3900294-1,1,31,9
3900293-1,1,32,9
3900292-1,1,346,5
3900291-1,1,346,4
3900290-1,1,346,3
3900289-1,1,346,2
3900288-1,1,346,1
3900287-1,1,331,11
3900286-1,1,331,9
3900285-1,1,346,6
3900284-1,1,331,8
3900283-1,1,331,7
3900282-1,1,331,6
3900281-1,1,331,5
3900280-1,1,331,4
3900279-1,1,331,3
3900278-1,1,331,2
3900277-1,1,331,1
3900276-1,1,316,12
3900275-1,1,316,11
3900274-1,1,316,10
3900273-1,1,316,8
3900272-1,1,316,7
3900271-1,1,316,6
3900270-1,1,316,5
3900269-1,1,316,4
3900268-1,1,77,14
3900267-1,1,77,11
3900266-1,1,77,13
3900265-1,1,77,10
3900264-1,1,77,8
3900263-1,1,77,6
3900262-1,1,77,5
3900261-1,1,76,10
3900260-1,1,76,9
3900259-1,1,76,8
3900258-1,1,76,7
3900257-1,1,76,1
3900256-1,1,373,10
3900255-1,1,312,14
3900254-1,1,312,25
3900253-1,1,312,7
3900252-1,1,66,18
3900251-1,1,312,18
3900250-1,1,312,26
3900249-1,1,661,3
3900248-1,1,30,5
3900247-1,1,30,4
3900246-1,1,30,6
3900245-1,1,312,22
3900244-1,1,66,16
3900243-1,1,32,13
3900242-1,1,31,3
3900241-1,1,31,2
3900240-1,1,32,1
3900239-1,1,373,11
3900238-1,1,66,1
3900237-1,1,342,14
3900236-1,1,373,5
3900235-2,2,65,6
3900235-1,1,65,6
3900234-1,1,65,7
3900233-1,1,66,3
3900232-1,1,309,3
3900231-1,1,312,2
3900230-1,1,66,15
3900229-1,1,30,1
3900228-1,1,373,7
3900227-1,1,32,12
3900226-1,1,316,1
3900225-1,1,304,1
3900224-1,1,661,1
3900223-1,1,312,13
3900222-1,1,373,2
3900221-1,1,312,1
3900220-1,1,31,8
3900219-1,1,66,4
3900218-1,1,31,10
3900217-1,1,32,7
3900216-1,1,31,6
3900215-1,1,32,8
3900214-1,1,661,4
3900213-1,1,32,5
3900212-1,1,73,5
3900211-1,1,661,6
3900210-2,2,373,3
3900209-1,1,66,2
3900208-1,1,342,11
3900207-1,1,32,3
3900206-1,1,32,14
3900205-1,1,75,1
3900204-1,1,65,3
3900203-1,1,65,4
3900202-1,1,65,1
3900201-1,1,661,8
3900200-1,1,661,7
3900199-1,1,31,1
3900198-1,1,65,5
3900197-1,1,32,11
3900196-1,1,342,13
3900195-1,1,304,3
3900194-1,1,31,11
3900193-1,1,373,4
3900192-1,1,31,4
3900191-1,1,31,5
3900190-1,1,342,12
3900189-1,1,312,12
3900188-2,2,65,2
3900188-1,1,65,2
3900187-1,1,66,17
3900186-1,1,312,10
3900185-1,1,309,6
3900184-1,1,312,23
3900183-1,1,312,8
3900182-1,1,309,8
3900181-1,1,309,4
3900180-1,1,304,2
3900179-1,1,312,3
3900178-1,1,309,5
3900177-1,1,312,11
3900176-1,1,309,2
3900175-1,1,309,7
3900174-1,1,661,2
3900173-1,1,308,3
3900172-1,1,312,19
3900171-1,1,312,20
3900170-1,1,373,1
3900169-1,1,312,16
3900168-1,1,312,24
3900167-1,1,308,2
3900166-1,1,304,4
3900165-1,1,312,27
3900164-1,1,304,5
3900163-1,1,308,1
3900162-1,1,312,6
3900161-1,1,312,4
3900160-1,1,30,2
3900159-1,1,32,4
3900158-1,1,30,3
3900157-1,1,346,7
3900156-1,1,32,2
3900155-1,1,66,6
3900154-1,1,66,10
3900153-1,1,330,1
3899602-1,1,895,61
3899601-1,1,893,60
3898706-1,1,22,1
3898705-1,1,676,1
3898704-1,1,676,2
3898703-1,1,676,3
3898702-1,1,676,4
3898701-1,1,676,5
3898700-1,1,676,6
3898699-1,1,676,7
3898698-1,1,676,8
3898697-1,1,676,9
3898696-1,1,101,5
3898695-1,1,106,6
3898694-1,1,150,6
3898693-1,1,150,5
3898692-1,1,101,1
3898691-1,1,101,2
3898690-1,1,106,5
3898689-1,1,101,4
3898688-1,1,101,3
3898687-1,1,156,2
3898686-1,1,156,1
3898685-1,1,128,4
3898684-1,1,128,5
3898683-1,1,128,2
3898682-1,1,128,3
3898681-1,1,128,1
3898680-1,1,128,6
3898679-1,1,50,1
3898678-1,1,50,3
3898677-1,1,50,2
3898676-1,1,180,7
3898675-1,1,180,1
3898674-1,1,180,2
3898673-1,1,180,4
3898672-1,1,180,3
3898671-1,1,180,5
3898670-1,1,180,6
3898669-1,1,106,1
3898668-1,1,106,3
3898667-1,1,106,2
3898666-1,1,150,3
3898665-1,1,150,4
3898664-1,1,150,1
3898663-1,1,150,2
3898662-1,1,106,4
3898661-1,1,671,1
3898660-1,1,671,2
3898659-1,1,671,3
3898658-1,1,671,4
3898657-1,1,671,5
3898656-1,1,671,6
3898655-1,1,671,7
3898654-1,1,671,8
3898653-1,1,671,9
3898652-1,1,671,10
3898651-1,1,168,4
3898650-1,1,168,1
3898649-1,1,168,3
3898648-1,1,168,2
3898647-1,1,107,1
3898646-1,1,107,5
3898645-1,1,107,4
3898644-1,1,107,3
3898643-1,1,107,2
3898642-1,1,181,3
3898641-1,1,181,4
3898640-1,1,181,1
3898639-1,1,181,5
3898638-1,1,181,2
3898637-1,1,105,1
3898636-1,1,182,1
3898635-1,1,182,2
3898634-1,1,169,4
3898633-1,1,169,1
3898632-1,1,169,2
3898631-1,1,169,3
3898630-1,1,150,25
3898629-1,1,197,4
3898628-1,1,150,11
3898627-1,1,197,1
3898626-1,1,197,2
3898625-1,1,197,21
3898624-1,1,197,22
3898623-1,1,197,3
3898622-1,1,197,23
3898621-1,1,197,5
3898620-1,1,197,6
3898619-2,2,197,7
3898619-1,1,197,7
3898618-1,1,197,8
3898617-1,1,197,9
3898616-1,1,22,2
3898615-1,1,22,1
3898614-1,1,106,18
3898613-1,1,116,1
3898612-1,1,116,2
3898611-1,1,116,3
3898610-1,1,116,4
3898609-1,1,116,5
3898608-1,1,116,6
3898607-1,1,116,7
3898606-1,1,116,8
3898605-1,1,116,9
3898604-1,1,118,1
3898603-1,1,118,2
3898602-1,1,118,3
3898601-1,1,118,4
3898600-1,1,118,5
3898599-1,1,118,6
3898598-1,1,118,7
3898597-1,1,119,21
3898596-1,1,119,22
3898595-1,1,119,31
3898594-1,1,119,32
3898593-1,1,150,27
3898592-1,1,676,14
3898591-1,1,150,16
3898590-1,1,143,8
3898589-1,1,114,5
3898588-1,1,178,5
3898587-1,1,676,1
3898586-1,1,676,3
3898585-1,1,676,2
3898584-1,1,676,4
3898583-1,1,676,6
3898582-1,1,676,5
3898581-1,1,676,7
3898580-1,1,676,8
3898579-1,1,676,9
3898578-1,1,676,10
3898577-1,1,676,12
3898576-1,1,676,11
3898575-1,1,676,13
3898574-1,1,676,15
3898573-1,1,676,16
3898572-1,1,676,17
3898571-1,1,676,18
3898570-1,1,128,8
3898569-1,1,101,5
3898568-1,1,150,15
3898567-1,1,102,4
3898566-1,1,183,9
3898565-1,1,150,28
3898564-1,1,183,5
3898563-1,1,101,6
3898562-1,1,166,11
3898561-1,1,150,29
3898560-1,1,150,19
3898559-1,1,150,24
3898558-1,1,106,17
3898557-1,1,181,5
3898556-1,1,181,4
3898555-1,1,181,3
3898554-1,1,181,2
3898553-1,1,181,1
3898552-1,1,182,6
3898551-1,1,186,3
3898550-1,1,183,10
3898549-1,1,156,4
3898548-1,1,156,1
3898547-1,1,156,2
3898546-1,1,156,3
3898545-1,1,179,9
3898544-1,1,159,9
3898543-1,1,157,6
3898542-1,1,179,8
3898541-1,1,179,7
3898540-1,1,157,5
3898539-1,1,158,5
3898538-1,1,179,5
3898537-1,1,158,6
3898536-1,1,179,6
3898535-1,1,159,6
3898534-1,1,150,17
3898533-1,1,106,13
3898532-1,1,128,7
3898531-1,1,111,11
3898530-1,1,107,9
3898529-1,1,107,10
3898528-1,1,128,9
3898527-1,1,128,4
3898526-1,1,128,6
3898525-1,1,128,5
3898524-1,1,128,3
3898523-1,1,128,2
3898522-1,1,128,1
3898521-1,1,50,9
3898520-1,1,50,7
3898519-1,1,50,8
3898518-1,1,50,6
3898517-1,1,50,4
3898516-1,1,50,5
3898515-1,1,50,3
3898514-1,1,50,10
3898513-1,1,50,2
3898512-1,1,50,1
3898511-1,1,166,9
3898510-1,1,166,10
3898509-1,1,166,7
3898508-1,1,106,12
3898507-1,1,186,5
3898506-1,1,158,10
3898505-1,1,192,4
3898504-1,1,183,6
3898503-1,1,106,11
3898502-1,1,192,5
3898501-1,1,159,8
3898500-1,1,158,8
3898499-1,1,158,7
3898498-1,1,158,9
3898497-1,1,178,7
3898496-1,1,178,9
3898495-1,1,178,10
3898494-1,1,178,1
3898493-1,1,178,3
3898492-1,1,150,10
3898491-1,1,178,2
3898490-1,1,180,1
3898489-1,1,180,2
3898488-1,1,180,3
3898487-1,1,180,4
3898486-1,1,180,6
3898485-1,1,180,5
3898484-1,1,180,7
3898483-1,1,180,8
3898482-1,1,180,9
3898481-1,1,180,13
3898480-1,1,180,10
3898479-1,1,180,11
3898478-1,1,180,12
3898477-1,1,193,1
3898476-1,1,193,2
3898475-1,1,193,3
3898474-1,1,193,4
3898473-1,1,193,5
3898472-1,1,193,6
3898471-1,1,193,7
3898470-1,1,193,8
3898469-1,1,193,9
3898468-1,1,671,17
3898467-1,1,671,1
3898466-1,1,671,2
3898465-1,1,671,3
3898464-1,1,671,4
3898463-1,1,671,5
3898462-1,1,671,6
3898461-1,1,671,7
3898460-1,1,671,8
3898459-1,1,671,9
3898458-1,1,671,10
3898457-1,1,671,11
3898456-1,1,671,12
3898455-1,1,671,13
3898454-1,1,671,14
3898453-1,1,671,15
3898452-1,1,671,16
3898451-1,1,182,3
3898450-1,1,183,8
3898449-1,1,101,11
3898448-1,1,168,4
3898447-1,1,164,3
3898446-1,1,164,1
3898445-1,1,168,3
3898444-1,1,164,2
3898443-1,1,168,2
3898442-1,1,168,1
3898441-1,1,166,5
3898440-1,1,150,8
3898439-1,1,166,3
3898438-1,1,106,7
3898437-1,1,150,13
3898436-1,1,166,8
3898435-1,1,102,2
3898434-1,1,166,6
3898433-1,1,101,9
3898432-1,1,182,5
3898431-1,1,192,2
3898430-1,1,192,1
3898429-1,1,154,4
3898428-1,1,166,1
3898427-1,1,166,4
3898426-1,1,166,2
3898425-1,1,154,3
3898424-1,1,150,7
3898423-1,1,952,5
3898422-1,1,952,4
3898421-1,1,111,8
3898420-1,1,111,7
3898419-1,1,952,1
3898418-1,1,190,5
3898417-1,1,158,1
3898416-1,1,101,12
3898415-1,1,190,4
3898414-1,1,143,4
3898413-1,1,952,2
3898412-1,1,150,5
3898411-1,1,178,8
3898410-1,1,143,1
3898409-1,1,190,3
3898408-1,1,157,4
3898407-1,1,157,2
3898406-1,1,143,9
3898405-1,1,111,4
3898404-1,1,192,3
3898403-1,1,182,4
3898402-1,1,183,4
3898401-1,1,150,14
3898400-1,1,186,1
3898399-1,1,150,2
3898398-1,1,178,6
3898397-1,1,111,2
3898396-1,1,106,5
3898395-1,1,101,10
3898394-1,1,106,2
3898393-1,1,143,5
3898392-1,1,190,2
3898391-1,1,150,9
3898390-1,1,158,4
3898389-1,1,114,1
3898388-1,1,952,7
3898387-1,1,114,3
3898386-1,1,952,3
3898385-1,1,158,3
3898384-1,1,159,7
3898383-1,1,159,3
3898382-1,1,106,1
3898381-1,1,190,7
3898380-1,1,159,1
3898379-1,1,114,4
3898378-1,1,158,2
3898377-1,1,143,6
3898376-1,1,111,1
3898375-1,1,107,8
3898374-1,1,183,3
3898373-1,1,952,6
3898372-1,1,157,3
3898371-1,1,186,2
3898370-1,1,952,8
3898369-1,1,107,6
3898368-1,1,154,1
3898367-1,1,106,10
3898366-1,1,157,1
3898365-1,1,111,9
3898364-1,1,114,2
3898363-1,1,190,1
3898362-1,1,154,2
3898361-1,1,179,1
3898360-1,1,107,3
3898359-1,1,183,7
3898358-1,1,182,1
3898357-1,1,111,12
3898356-1,1,159,5
3898355-1,1,114,6
3898354-1,1,106,3
3898353-1,1,111,10
3898352-1,1,159,4
3898351-1,1,143,2
3898350-1,1,106,16
3898349-1,1,101,1
3898348-1,1,102,5
3898347-1,1,106,4
3898346-1,1,101,7
3898345-1,1,111,13
3898344-1,1,111,5
3898343-1,1,186,4
3898342-1,1,178,4
3898341-1,1,183,1
3898340-1,1,101,8
3898339-1,1,105,2
3898338-1,1,159,2
3898337-1,1,107,2
3898336-1,1,106,8
3898335-1,1,107,4
3898334-1,1,179,3
3898333-1,1,101,2
3898332-1,1,106,9
3898331-1,1,102,1
3898330-1,1,150,21
3898329-1,1,150,20
3898328-1,1,179,2
3898327-1,1,143,3
3898326-1,1,150,18
3898325-1,1,106,6
3898324-1,1,106,15
3898323-1,1,101,4
3898322-1,1,107,5
3898321-1,1,179,4
3898320-1,1,150,6
3898319-1,1,143,7
3898318-1,1,150,12
3898317-1,1,150,4
3898316-1,1,102,3
3898315-1,1,111,6
3898314-1,1,182,2
3898313-1,1,106,14
3898312-1,1,107,7
3898311-1,1,150,22
3898310-1,1,150,1
3898309-1,1,183,2
3898308-1,1,150,23
3898307-1,1,101,3
3898306-1,1,111,3
3898305-1,1,150,3
3898304-1,1,107,1
3898303-1,1,105,1
3898302-1,1,150,26
3898301-1,1,190,6
3898300-1,1,22,1
3898299-1,1,150,11
3898298-1,1,118,1
3898297-1,1,676,1
3898296-1,1,676,2
3898295-1,1,676,3
3898294-1,1,676,4
3898293-1,1,676,5
3898292-1,1,676,6
3898291-1,1,676,7
3898290-1,1,676,9
3898289-1,1,676,8
3898288-1,1,156,1
3898287-1,1,156,2
3898286-1,1,106,9
3898285-1,1,150,15
3898284-1,1,150,14
3898283-1,1,150,7
3898282-1,1,106,7
3898281-1,1,150,16
3898280-1,1,106,6
3898279-1,1,150,13
3898278-1,1,106,8
3898277-1,1,106,10
3898276-1,1,150,12
3898275-1,1,101,4
3898274-1,1,150,5
3898273-1,1,101,3
3898272-1,1,150,10
3898271-1,1,150,9
3898270-1,1,106,5
3898269-1,1,150,2
3898268-1,1,166,7
3898267-1,1,166,4
3898266-1,1,166,6
3898265-1,1,128,4
3898264-1,1,128,5
3898263-1,1,128,3
3898262-1,1,128,2
3898261-1,1,128,1
3898260-1,1,128,6
3898259-1,1,50,5
3898258-1,1,50,4
3898257-1,1,50,3
3898256-1,1,50,2
3898255-1,1,50,1
3898254-1,1,180,1
3898253-1,1,180,2
3898252-1,1,180,3
3898251-1,1,180,5
3898250-1,1,180,4
3898249-1,1,180,6
3898248-1,1,180,7
3898247-1,1,180,8
3898246-1,1,180,9
3898245-1,1,150,8
3898244-1,1,101,2
3898243-1,1,150,6
3898242-1,1,101,1
3898241-1,1,106,4
3898240-1,1,150,3
3898239-1,1,106,3
3898238-1,1,106,1
3898237-1,1,106,2
3898236-1,1,150,1
3898235-1,1,150,4
3898234-1,1,671,10
3898233-1,1,671,9
3898232-1,1,671,8
3898231-1,1,671,7
3898230-1,1,671,6
3898229-1,1,671,5
3898228-1,1,671,4
3898227-1,1,671,3
3898226-1,1,671,2
3898225-1,1,671,1
3898224-1,1,166,5
3898223-1,1,166,3
3898222-1,1,168,2
3898221-1,1,166,2
3898220-1,1,166,1
3898219-1,1,168,1
3898218-1,1,105,2
3898217-1,1,107,5
3898216-1,1,107,4
3898215-1,1,107,2
3898214-1,1,107,3
3898213-1,1,107,1
3898212-1,1,105,1
3898211-1,1,181,5
3898210-1,1,181,3
3898209-1,1,181,1
3898208-1,1,181,4
3898207-1,1,181,2
3898206-1,1,182,1
3898205-1,1,182,2
3898204-1,1,169,4
3898203-1,1,169,3
3898202-1,1,169,2
3898201-1,1,169,1
3896911-1,1,120,34
3896910-1,1,120,33
3896909-1,1,120,32
3896908-1,1,120,31
3896907-1,1,120,30
3896906-1,1,120,29
3896905-1,1,120,28
3896904-1,1,120,27
3896903-1,1,120,26
3896902-1,1,120,25
3896901-1,1,120,24
3896900-1,1,120,23
3896899-1,1,120,22
3896898-1,1,120,21
3896897-1,1,120,20
3896896-1,1,120,19
3896895-1,1,120,18
3896894-1,1,120,17
3896893-1,1,120,16
3896892-1,1,120,15
3896891-1,1,120,14
3896890-1,1,120,13
3896889-1,1,120,12
3896888-1,1,120,11
3896887-1,1,120,10
3896886-1,1,120,9
3896885-1,1,120,8
3896884-1,1,120,7
3896883-1,1,120,6
3896882-1,1,120,5
3896881-1,1,120,4
3896880-1,1,120,3
3896879-1,1,120,2
3896878-1,1,120,1
3896877-1,1,43,22
3896876-1,1,43,21
3896875-1,1,43,20
3896874-1,1,43,19
3896873-1,1,43,18
3896872-1,1,43,17
3896871-1,1,43,16
3896870-1,1,43,15
3896869-1,1,43,14
3896868-1,1,43,13
3896867-1,1,43,12
3896866-1,1,43,11
3896865-1,1,43,10
3896864-1,1,43,9
3896863-1,1,43,8
3896862-1,1,43,7
3896861-1,1,43,6
3896860-1,1,43,5
3896859-1,1,43,4
3896858-1,1,43,3
3896857-1,1,43,2
3896856-1,1,43,1
3896855-1,1,47,1
3896854-1,1,47,3
3896853-1,1,47,2
3896852-1,1,10,9
3896851-1,1,10,8
3896850-1,1,10,7
3896849-1,1,10,6
3896848-1,1,10,5
3896847-1,1,10,4
3896846-1,1,10,3
3896845-1,1,10,2
3896844-1,1,10,1
3896843-1,1,10,10
3896842-1,1,1,14
3896841-1,1,1,13
3896840-1,1,1,12
3896839-1,1,1,11
3896838-1,1,1,10
3896837-1,1,1,9
3896836-1,1,1,8
3896835-1,1,1,7
3896834-1,1,1,6
3896833-1,1,1,5
3896832-1,1,1,4
3896831-1,1,1,3
3896830-1,1,1,2
3896829-1,1,1,1
3896828-1,1,1,15
3896827-1,1,2,18
3896826-1,1,3,24
3896825-1,1,3,22
3896824-1,1,3,21
3896823-1,1,3,23
3896822-1,1,3,18
3896821-1,1,3,17
3896820-1,1,3,16
3896819-1,1,3,15
3896818-1,1,3,14
3896817-1,1,3,13
3896816-1,1,3,12
3896815-1,1,3,11
3896814-1,1,3,10
3896813-1,1,3,9
3896812-1,1,3,8
3896811-1,1,3,7
3896810-1,1,3,6
3896809-1,1,3,5
3896808-1,1,3,4
3896807-1,1,3,3
3896806-1,1,3,2
3896805-1,1,3,1
3896804-1,1,2,16
3896803-1,1,3,20
3896802-1,1,2,2
3896801-1,1,70,13
3896800-1,1,70,12
3896799-1,1,70,11
3896798-1,1,70,10
3896797-1,1,70,9
3896796-1,1,70,8
3896795-1,1,70,7
3896794-1,1,70,6
3896793-1,1,70,5
3896792-1,1,70,4
3896791-1,1,70,3
3896790-1,1,70,2
3896789-1,1,70,1
3896788-1,1,36,24
3896787-1,1,36,23
3896786-1,1,36,22
3896785-1,1,36,21
3896784-1,1,36,20
3896783-1,1,36,19
3896782-1,1,36,18
3896781-1,1,36,17
3896780-1,1,36,16
3896779-1,1,36,15
3896778-1,1,36,14
3896777-1,1,36,13
3896776-1,1,36,12
3896775-1,1,36,11
3896774-1,1,36,10
3896773-1,1,36,9
3896772-1,1,36,8
3896771-1,1,36,7
3896770-1,1,36,6
3896769-1,1,36,5
3896768-1,1,36,4
3896767-1,1,36,3
3896766-1,1,36,2
3896765-1,1,36,1
3896764-1,1,7,20
3896763-1,1,7,9
3896762-1,1,7,13
3896761-1,1,7,33
3896760-1,1,7,32
3896759-1,1,7,31
3896758-1,1,7,30
3896757-1,1,7,7
3896756-1,1,7,17
3896755-1,1,7,14
3896754-1,1,7,12
3896753-1,1,7,8
3896752-1,1,7,19
3896751-1,1,7,16
3896750-1,1,7,24
3896749-1,1,7,10
3896748-1,1,7,15
3896747-1,1,7,22
3896746-1,1,7,25
3896745-1,1,7,21
3896744-1,1,7,11
3896743-1,1,7,3
3896742-1,1,7,18
3896741-1,1,7,6
3896740-1,1,7,5
3896739-1,1,7,23
3896738-1,1,7,1
3896737-1,1,7,4
3896736-1,1,7,2
3896735-1,1,2,5
3896734-1,1,2,1
3896733-1,1,2,3
3896732-1,1,12,1
3896731-1,1,2,9
3896730-1,1,12,10
3896729-1,1,12,9
3896728-1,1,12,8
3896727-1,1,12,7
3896726-1,1,12,6
3896725-1,1,12,5
3896724-1,1,12,4
3896723-1,1,12,3
3896722-1,1,12,2
3896721-1,1,2,7
3896720-1,1,2,17
3896719-1,1,2,15
3896718-1,1,2,19
3896717-1,1,2,20
3896716-1,1,2,21
3896715-1,1,2,4
3896714-1,1,2,10
3896713-1,1,2,13
3896712-1,1,2,8
3896711-1,1,2,6
3896710-1,1,2,11
3896709-1,1,2,12
3896708-1,1,2,14
3895286-1,1,245,5
3895285-1,1,245,1
3895284-1,1,245,4
3895283-1,1,245,3
3895282-1,1,245,2
3895281-1,1,240,6
3895280-1,1,240,1
3895279-1,1,240,2
3895278-1,1,240,3
3895277-1,1,240,4
3895276-1,1,240,5
3895275-1,1,249,1
3895274-1,1,249,3
3895273-1,1,249,2
3895272-1,1,208,1
3895271-1,1,226,5
3895270-1,1,226,1
3895269-1,1,226,2
3895268-1,1,241,1
3895267-1,1,226,4
3895266-1,1,221,3
3895265-1,1,221,1
3895264-1,1,221,2
3895263-1,1,226,3
3895262-1,1,221,4
3895261-1,1,234,2
3895260-1,1,234,1
3895259-1,1,235,2
3895258-1,1,235,1
3895257-1,1,271,3
3895256-1,1,271,7
3895255-1,1,271,1
3895254-1,1,271,2
3895253-1,1,271,4
3895252-1,1,271,6
3895251-1,1,271,5
3895250-1,1,248,1
3895249-1,1,248,7
3895248-1,1,248,6
3895247-1,1,248,5
3895246-1,1,248,4
3895245-1,1,248,3
3895244-1,1,248,2
3891621-1,1,894,60
3891620-1,1,892,60
3891619-1,1,891,60
3891618-1,1,895,60
3891617-1,1,824,60
3891616-1,1,889,60
3891615-1,1,893,61
3891614-1,1,887,60
3891613-1,1,823,60
3891612-1,1,888,60
3891611-1,1,894,61
3891610-1,1,892,61
3891609-1,1,891,61
3891605-1,1,889,61
3891604-1,1,824,61
3891603-1,1,888,61
3891602-1,1,823,61
3891601-1,1,887,61
3889594-1,1,773,1
3889593-1,1,973,1
3889592-1,1,773,2
3889591-1,1,903,2
3889590-1,1,903,1
3889589-1,1,773,1
3889588-1,1,973,1
3889587-1,1,773,2
3889586-1,1,903,1
3889585-1,1,903,2
3889584-1,1,906,2
3889583-1,1,906,1
3889582-1,1,915,1
3889581-1,1,908,1
3889580-1,1,910,1
3889579-1,1,917,1
3889578-1,1,914,3
3889577-1,1,914,1
3889576-1,1,914,2
3889575-1,1,631,1
3889574-1,1,630,1
3889573-1,1,630,6
3889572-1,1,630,5
3889571-1,1,630,4
3889570-1,1,630,3
3889569-1,1,630,2
3889568-1,1,773,3
3889567-1,1,773,4
3889566-1,1,973,2
3889565-1,1,628,1
3889564-1,1,628,6
3889563-1,1,628,5
3889562-1,1,628,4
3889561-1,1,628,3
3889560-1,1,628,2
3889559-1,1,931,5
3889558-1,1,931,6
3889557-1,1,903,3
3889556-1,1,903,8
3889555-1,1,903,7
3889554-1,1,903,6
3889553-1,1,903,5
3889552-1,1,903,4
3889551-1,1,903,2
3889550-1,1,903,1
3889549-1,1,773,1
3889548-1,1,773,2
3889547-1,1,973,1
3889544-1,1,906,2
3889543-1,1,906,1
3889542-1,1,975,2
3889541-1,1,975,1
3889540-1,1,931,1
3889539-1,1,931,8
3889538-1,1,931,7
3889537-1,1,931,4
3889536-1,1,931,3
3889535-1,1,931,2
3889534-1,1,915,1
3889533-1,1,907,3
3889532-1,1,907,2
3889531-1,1,907,1
3889530-1,1,913,4
3889529-1,1,913,3
3889528-1,1,913,2
3889527-1,1,913,1
3889526-1,1,908,1
3889525-1,1,910,1
3889524-1,1,914,3
3889523-1,1,914,2
3889522-1,1,914,1
3889521-1,1,917,1
3889520-1,1,930,6
3889519-1,1,930,3
3889518-1,1,930,5
3889517-1,1,930,4
3889516-1,1,930,2
3889515-1,1,930,1
3889514-1,1,672,11
3889513-1,1,672,10
3889512-1,1,672,9
3889511-1,1,672,5
3889510-1,1,554,11
3889509-1,1,255,20
3889508-1,1,372,18
3889507-2,2,372,17
3889507-1,1,372,17
3889506-1,1,372,16
3889505-1,1,372,15
3889504-2,2,372,14
3889504-1,1,372,14
3889503-1,1,372,13
3889502-2,2,372,12
3889502-1,1,372,12
3889501-1,1,372,11
3889500-1,1,372,10
3889499-1,1,372,9
3889498-2,2,372,8
3889498-1,1,372,8
3889497-2,2,372,7
3889497-1,1,372,7
3889496-1,1,372,6
3889495-1,1,372,5
3889494-1,1,372,3
3889493-1,1,372,2
3889492-2,2,372,1
3889492-1,1,372,1
3889491-2,2,311,1
3889491-1,1,311,1
3889490-1,1,252,7
3889489-1,1,257,5
3889488-1,1,214,11
3889487-1,1,255,28
3889486-1,1,554,13
3889485-1,1,218,8
3889484-1,1,311,12
3889483-1,1,311,14
3889482-1,1,556,6
3889481-1,1,556,5
3889480-1,1,556,4
3889479-1,1,556,2
3889478-1,1,556,1
3889477-1,1,554,12
3889476-1,1,556,3
3889475-1,1,554,10
3889474-1,1,554,9
3889473-1,1,554,8
3889472-1,1,554,7
3889471-1,1,554,6
3889470-1,1,554,5
3889469-1,1,554,4
3889468-1,1,554,3
3889467-1,1,550,2
3889466-1,1,554,2
3889465-1,1,554,1
3889464-1,1,550,31
3889463-1,1,550,30
3889462-1,1,550,29
3889461-1,1,550,28
3889460-1,1,550,27
3889459-1,1,550,26
3889458-1,1,550,24
3889457-1,1,550,25
3889456-1,1,550,23
3889455-1,1,550,22
3889454-1,1,550,21
3889453-1,1,550,20
