block_seq_num,block_var_num,block_route_num,block_run_num
3920094-1,1,16,4
3920093-1,1,16,3
3920092-1,1,16,2
3920091-1,1,16,1
3920090-1,1,16,9
3920089-1,1,25,3
3920088-1,1,33,8
3920087-1,1,33,6
3920086-1,1,28,23
3920085-1,1,28,7
3920084-1,1,28,1
3920083-1,1,28,29
3920082-1,1,26,12
3920081-1,1,28,19
3920080-1,1,28,32
3920079-1,1,28,35
3920078-1,1,26,7
3920077-1,1,26,14
3920076-1,1,28,15
3920075-1,1,26,1
3920074-1,1,28,31
3920073-1,1,28,33
3920072-1,1,26,10
3920071-1,1,28,13
3920070-1,1,26,21
3920069-1,1,28,17
3920068-1,1,26,13
3920067-1,1,26,6
3920066-1,1,26,20
3920065-1,1,28,2
3920064-1,1,28,26
3920063-1,1,28,8
3920062-1,1,26,4
3920061-1,1,26,25
3920060-1,1,28,9
3920059-1,1,28,24
3920058-1,1,26,24
3920057-1,1,26,5
3920056-1,1,26,8
3920055-1,1,26,19
3920054-1,1,28,20
3920053-1,1,28,16
3920052-1,1,26,18
3920051-1,1,28,12
3920050-1,1,28,22
3920049-1,1,26,3
3920048-1,1,28,11
3920047-1,1,28,27
3920046-1,1,26,15
3920045-1,1,28,3
3920044-1,1,28,14
3920043-1,1,28,36
3920042-1,1,28,4
3920041-1,1,28,30
3920040-1,1,26,23
3920039-1,1,26,22
3920038-1,1,26,11
3920037-1,1,26,9
3920036-1,1,28,25
3920035-1,1,28,10
3920034-1,1,28,28
3920033-1,1,28,21
3920032-1,1,28,34
3920031-1,1,26,2
3920030-1,1,28,18
3920029-1,1,26,16
3920028-1,1,28,5
3920027-1,1,28,6
3920026-1,1,16,15
3920025-1,1,33,7
3920024-1,1,33,1
3920023-1,1,33,2
3920022-1,1,33,4
3920021-1,1,33,3
3920020-1,1,33,5
3920019-1,1,33,9
3920018-1,1,33,10
3920017-1,1,33,11
3920016-1,1,33,12
3920015-1,1,33,13
3920014-1,1,33,14
3920013-1,1,8,18
3920012-1,1,8,14
3920011-1,1,8,13
3920010-1,1,8,12
3920009-1,1,8,19
3920008-1,1,8,16
3920007-1,1,8,11
3920006-1,1,8,10
3920005-1,1,8,9
3920004-1,1,8,8
3920003-1,1,8,7
3920002-1,1,8,5
3920001-1,1,8,6
3920000-1,1,8,4
3919999-1,1,8,17
3919998-1,1,8,3
3919997-1,1,8,15
3919996-1,1,8,2
3919995-1,1,8,1
3919994-1,1,99,4
3919993-1,1,99,1
3919992-1,1,99,2
3919991-1,1,99,3
3919990-1,1,11,5
3919989-1,1,11,8
3919988-1,1,11,6
3919987-1,1,11,7
3919986-1,1,11,1
3919985-1,1,11,2
3919984-1,1,11,3
3919983-1,1,11,4
3919982-1,1,24,14
3919981-1,1,19,2
3919980-1,1,19,1
3919979-1,1,24,17
3919978-1,1,19,4
3919977-1,1,24,11
3919976-1,1,24,12
3919975-1,1,24,9
3919974-1,1,19,3
3919973-1,1,16,11
3919972-1,1,16,10
3919971-1,1,16,9
3919970-1,1,16,8
