from_stop_id,to_stop_id,transfer_type,min_transfer_time
1118,1118,1,
1455,1455,1,
1555,1555,1,
1559,1559,1,
1455,1555,1,
1455,1559,1,
1555,1455,1,
1555,1559,1,
1559,1555,1,
1559,1455,1,
1340,1107,1,
1107,1340,1,
1116,1516,1,
1516,1116,1,
1254,1397,1,
1125,1311,1,
1311,1125,1,
1337,1311,1,
1337,1125,1,
1125,1337,1,
1311,1337,1,
